id_processo,tipo_processo,area_juridica,data_distribuicao,data_sentenca,data_transito_julgado,status,valor_causa,resultado_final,custos_legais,honorarios_advogado,responsavel_interno,escritorio_externo,tribunal,comarca,instancia,risco_inicial
P_0001,Tributário,Planejamento Tributário,2024-02-02,,,Ativo,3830109.66,Em Andamento,39068.7,119758.39,Gustavo Pires,Jurídico Soluções,CADE,Campinas,Segunda Instância,Muito Alto
P_0002,Trabalhista,RH,2022-09-08,,,Ativo,745078.37,Em Andamento,22574.69,1541.92,Ana Silva,Santos & Almeida Consultoria,CADE,Brasília,Segunda Instância,Baixo
P_0003,Ambiental,Sanções,2021-03-15,2022-05-05,2022-07-26,Finalizado,5553403.04,Perdido,274685.47,411639.92,Ana Silva,Advogados Associados LTDA,STF,Curitiba,Primeira Instância,Muito Alto
P_0004,Regulatório,Setorial,2020-06-24,2020-09-03,2020-09-22,Finalizado,5361734.35,Ganho,110737.78,432941.2,Bruno Costa,Global Law,TRT2,Guarulhos,Tribunais Superiores,Baixo
P_0005,Regulatório,Compliance,2023-08-19,,,Ativo,2113245.38,Em Andamento,15257.17,171638.26,Fernanda Lima,Jurídico Soluções,CARF,Osasco,Segunda Instância,Médio
P_0006,Regulatório,Setorial,2020-11-25,,,Ativo,5966970.68,Em Andamento,239534.39,449813.2,Fernanda Lima,Advogados Associados LTDA,TRF1,Recife,Segunda Instância,Baixo
P_0007,Regulatório,Compliance,2021-09-25,2022-08-27,2022-11-08,Finalizado,6568111.55,Perdido,129979.52,190164.59,Ana Silva,Advogados Associados LTDA,TRT3,Curitiba,Segunda Instância,Alto
P_0008,Ambiental,Sanções,2020-11-17,2022-01-28,2022-04-06,Finalizado,2322438.9,Ganho,99103.42,84490.86,Carla Souza,Lex Consultoria,TRF2,São Paulo,Primeira Instância,Muito Alto
P_0009,Propriedade Intelectual,Patentes,2023-05-02,2024-05-29,2024-11-12,Finalizado,1284911.3,Perdido,46730.01,22510.5,Fernanda Lima,Santos & Almeida Consultoria,TJMG,Guarulhos,Segunda Instância,Médio
P_0010,Regulatório,Compliance,2021-01-05,2022-04-11,2022-05-27,Finalizado,2564240.13,Ganho,30658.66,175286.11,Ana Silva,Santos & Almeida Consultoria,ANVISA,Fortaleza,Primeira Instância,Médio
